難易度,曲名　　　　　　　　　　 　　  　　  　  (ギミック),,,,,,定数,地,密,瞬,究,終,技,計,　 BPM　 (跳),,演奏時間,ひとこと
,FALSE,脳内革命ガール,,,,,31.2,3,3,2,3,2,1,14,240,◎,2:16.00,増えたBPM240族。認識難は多いが基本的に交互なので、12分に対応できる人ならあまり問題はない
,FALSE,化けの花,,ソ,敷,多,31.2,2,2,3,5,1,1,14,180,,1:54.67,アウトロができるかどうかで死ぬほど評価が分かれる。打数より「連打の合間」「入り手」を見るべし
,FALSE,Polar Star,ソ,敷,交,多,31.2,3,4,2,2,1,2,14,180,,1:31.28,ラストの連打は左始動なのでそこでリズムキープができるかが求められる。相も変わらず方向指定くん
,FALSE,黒塗り世界宛て書簡,,,ソ,敷,31.1+,3,4,1,3,1,1,13,185,,2:05.84,前半は注意が必要だが、サビ以降は実はフリックの手と逆で全レーンロング取るだけ！誘導に乗ろう
,FALSE,アイデンティティ,,,,,31.1+,2,3,2,2,2,2,13,195,,2:32.62,フル尺。長い。サビ前が厄介なのでフリックの動きを最小限に留めるといいかもしれない
,FALSE,アクセラレイト,,,ソ,多,31.1,3,3,2,1,1,2,12,170,,1:34.59,アウトロが問題なく対処できるならまず苦労はしない譜面。APDに比べ演出が盛られている
,FALSE,アンヘル,,,交,多,31.1,2,2,4,2,1,1,12,184,,2:00.12,Cメロを対処できるかがかなり全てを握っている。そこさえ乗り切ればあとは緊張との勝負
,FALSE,十六歳の心臓,,,敷,多,31.1,2,3,2,2,1,2,12,190,,2:10.89,初めて目立つ形で「ロングノーツを重ねていく」譜面が登場し、腐食が大歓喜したらしい
,FALSE,アベリア,,,ソ,多,31.0,2,4,2,1,1,1,11,183,,1:55.41,マジでチュウニズムのLonginusを彷彿とさせる終盤の連打地帯が特徴。リズムキープさえできちゃえば
,FALSE,Blackjack,,,,敷,31.0,1,2,2,2,2,2,11,114,◎,2:05.26,たまに16分が混じる系の低速ハネ譜面だが、配置がどうも素直でかなり31にしては負い目がある
30,FALSE,悔やむと書いてミライ,,,,,30.9+,9,6,5,2,4,2,28,194,,1:37.58,サビに容赦なく16分→同時フリックが襲いかかってくる。感覚を掴むまで練習するとよい
,FALSE,劣等上等,,,,,30.9,10,6,4,1,3,3,27,160,,1:31.13,こいつも16分→同時のオンパレード。悔やミラよりBPMは遅いがラスト発狂が難しい
,FALSE,夜咄ディセイブ,,,,,30.9,9,5,4,3,4,2,27,130,,2:15.00,セカイVer.基準で作ってあるからVSVer.の人は変えてみ、マジでセカイ変わるから
,FALSE,ワールズエンド・ダンスホール,,,,,30.9,10,7,3,2,3,2,27,171,,1:38.07,16分に同時が絡んでくる配置が多すぎて一部の人にはとても苦しい。紆余曲折あり30最上位帯に...
,FALSE,命に嫌われている,,,,,30.8+,7,6,5,1,4,3,26,200,,1:36.30,エイム力、終点、局所4k2連など、現環境を鑑みるとかなりとんでもない譜面だったりする......
,FALSE,ブリキノダンス,,,,,30.8+,8,5,3,3,5,2,26,172,,1:35.23,結構むずめの配置を各所にちりばめたみたいな感じの譜面。終盤の終点があり得なすぎる
,FALSE,裏表ラバーズ,,,,,30.8,8,6,2,2,5,2,25,159,,1:47.17,ちょい認識難混じってる系超絶乱打譜面。全体を通して終点が混じっているため、苦手な人には苦しい
,FALSE,泡沫未来,,,,,30.8,6,4,5,4,4,2,25,179,◯,1:41.90,16分ハネリズムの譜面の中にたまに12分混じってくるわ認識難だわジャクポ飛んでくるわ...何？
,FALSE,Disco No.39,,,,交,30.8,7,6,4,3,3,2,25,145,◯,2:10.76,BPM145のハネリズムは低速ハネ界随一の忙しさ。リズムを曲を通して意識する必要があり難しい
,FALSE,ミルククラウン・オン・ソーネチカ,,,,,30.8,8,4,4,5,2,2,25,127.4567,,2:08.98,物量+認識難。さらに中盤に変拍子とかなりの対応力が必要。ドクファン同様BPM半取り
,FALSE,星屑ユートピア,,,,,30.7+,6,5,4,4,2,3,24,240,,2:07.75,トンデモ譜面がついに30に昇格。圧倒的ゴリ押しと方向指定への対処力がかなりの肝
,FALSE,Glory Steady Go!,,,,,30.7+,6,5,5,3,3,2,24,131,,1:31.60,先行公開の音源聴いて絶対BPM262の16分飛んでくるじゃんって思った。曲良いし楽しい
,FALSE,ネクストネスト,,,,,30.7,4,3,5,3,5,3,23,128,,1:59.88,クセが強いスライドや24分の最初が同時な配置などがとても厄介。なんでEXPERT27にした
,FALSE,ミラクルペイント,,,,,30.7,5,4,5,3,3,3,23,215,◎,2:19.26,8分音符をそろそろ治せ！！！終点フリックに振っている譜面なので、画面をなぞるのを意識しよう
,FALSE,しっくおぶはうす！,,,,,30.7,7,5,3,3,3,2,23,170,,2:18.00,スパイスの効いた地力譜面といった印象。花を唄う系統の配置が終盤に飛んでくるので注意
,FALSE,アンノウン・マザーグース,,,,,30.7,7,6,3,2,3,2,23,222,,2:13.91,実装当初から29.9を継続していた譜面がついに昇格。最近の30と比べたら圧倒的難しさを誇る
,FALSE,エターナルアリア,,,,敷,30.7,8,5,5,2,2,1,23,184,,2:10.43,この音ゲーで一番いい譜面とされている(腐食談)。難しいリズムや、他の30にない奇抜な配置が特徴
,FALSE,ダンスロボットダンス,,,,,30.6+,7,5,4,1,2,3,22,190,,1:37.11,スライドのクセ強いのとアウトロむずい。あの声質で原キー出せるえむの中の人is何
,FALSE,RAD DOGS,,,,,30.6+,6,5,3,3,3,2,22,140,,2:12.00,全体的にむずいのにおまけに変な7連階段と縦連飛んでくるから運指をしっかり組むが吉
,FALSE,スターダストメドレー,,,,,30.6+,8,5,3,1,3,2,22,170,,2:18.88,圧倒的に神曲。くの字配置や1/12ノーツが特徴的。1サビ前のスライドは直線の両端押せば取れるぞ
,FALSE,STAGE OF SEKAI,,,,,30.6+,7,5,4,3,1,2,22,190,,1:55.89,神曲神譜面！楽器の各パートが譜面で表されてそう。ちなみにステージのセカイはモモジャン
,FALSE,ステラ,,,,,30.6+,7,5,4,1,3,2,22,197,,2:09.44,16分→同時の形が非常に多い。両手直前のノーツを意識することをオススメする
,FALSE,ラストスコア,,,,,30.6+,7,5,3,3,2,2,22,134,,2:18.69,圧倒的神曲であり推している人も多い。が譜面はかなり指押し推奨配置多め。小粒折り返し5鍵...
,FALSE,magic number,,,,,30.6+,5,4,3,5,4,1,22,120,,1:46.88,コンテンツのキャストが曲を作るという異例な事態。認識難やアウトロのリズム難のクセが強い
,FALSE,花を唄う,,,,,30.6+,4,4,2,5,5,2,22,115,◎,1:48.26,ハネ認識難+終点難+視認難+リズム難という複数の要素が合わさりなかなかに難解
,FALSE,the WALL,,,,,30.6+,7,4,5,3,2,1,22,183,,1:44.75,くの字配置や左始動暗記配置など地力配置が多め。誰の仕業か知らんが最近自分の周りで流行っている
,FALSE,KING,,,,,30.6,5,5,3,2,3,3,21,166,,2:12.83,ダンスロボットダンスに近い譜面傾向だが方向指定フリックがなかなかに面倒
,FALSE,フレー,,,,,30.6,6,5,3,3,2,2,21,168,,2:14.29,間奏地帯が今までの譜面で見たことのない配置をしており難しい。ラストは3連打をしっかり意識
,FALSE,シャンティ,,,,ソ,30.6,6,6,3,2,2,2,21,144,,2:06.25,初めて擬似停止が用いられた譜面。12分+8分の混フレやイントロなどの24分に注意しよう
,FALSE,合成するミライ,,ソ,敷,交,30.6,7,5,4,2,1,2,21,170,,2:09.79,流星のパルスの廉価版といった感じだが、いろいろな部分にギミックが散りばめられている。神曲
,FALSE,我儘姫,,,,,30.6,5,4,4,4,3,1,21,116.19-126,◯,2:17.96,突然16分が現れては24分に戻ったりとリズムが我儘な譜面。間奏のBPMは小数第2位範囲で変化する...
,FALSE,リンちゃんなう！,,,,,30.6,5,4,3,2,3,4,21,200,,2:23.33,ネタ全開譜面ではあるがシンプルに速いので、16分→同時や方向指定が厄介。黄色ノーツはガチ多い
,FALSE,レイニースノードロップ,,,,,30.5+,5,5,3,2,3,2,20,192,,2:27.50,全体的に地力譜面がずっと続く。アウトロの同時→真ん中2連にやられやすいので身構えよう
,FALSE,SnowMix♪,,,,,30.5+,5,5,5,1,2,2,20,185,,2:30.32,間奏地帯がかなり厄介だが、16分トリル地帯は3つずつ認識してあげるとかなり取りやすくなる
,FALSE,ピアノ×フォルテ×スキャンダル,,,,,30.5+,7,5,4,1,2,1,20,135,,2:07.78,随所に存在する32分音符が非常に厄介なはずだが、自分含め何故か初見APが多かったらしい...
,FALSE,てらてら,,,,,30.5,4,4,4,3,2,2,19,190,,2:10.42,レオニの30はかなり地力譜面が多い印象。認識難配置や全レーンフリックが絡む配置に注意
,FALSE,フェレス,,,,,30.5,4,4,3,2,4,2,19,220,◎,2:13.09,BPMこそマシンガンと同じだが、ハネリズムなので思ったより体力は不要。落ち着けば取れる
,FALSE,グッバイ宣言,,,,,30.5,5,4,2,3,3,2,19,170,,2:03.53,誘導の多い認識難がちょいちょいって感じで楽しい。やっぱりこの曲は原曲の方が人気かも
,FALSE,サラマンダー,,,,,30.5,5,4,3,2,3,2,19,172,,2:32.09,フル尺。長い。配置自体は単純めなものがほとんどだが随所に難しめなものもあるので注意
,FALSE,ダーリンダンス,,,,,30.5,5,4,3,3,2,2,19,153,,1:37.84,圧倒的編曲の違和感。物理的に少しだけ苦しい配置が特に中盤から後半にかけて多く見受けられる
,FALSE,ザムザ,,,,,30.5,6,4,3,2,2,2,19,121,,1:51.07,32分やゴリ押し配置などがかなり際立つ。かなり個人差で、得意な人はかなり得意
,FALSE,春嵐,,,,敷,30.5,7,5,2,1,2,2,19,140,,2:15.21,全体を通して16分音符鍵盤なためかなり体力or指押し地力が要るが、配置がかなり素直で直感的
,FALSE,ブループラネット,,,ソ,交,30.5,5,5,3,2,2,2,19,186,,2:12.90,ミク誕にまさかのサプライズ収録。エモいスライドやシンプルな地力配置など、かなり楽しい
,FALSE,ヴァンパイア,,,,,30.5,5,4,4,2,2,2,19,164,,2:18.11,後半に交互押しじゃない配置や地力を要する配置が多い。モモジャンのカバーも可愛い
,FALSE,難聴系男子が倒せない,,,,,30.5,6,4,4,1,2,2,19,150,,2:20.00,BPMが控えめな代わりにたまに非交互配置が飛んでくるので、まずはそこを冷静に対処すべし
,FALSE,パラソルサイダー,,,,,30.5,5,5,3,3,1,2,19,176,,1:27.61,イントロとアウトロゲー。曲が短く爽快なので運指を理解すればかなり楽しく叩けるはず
,FALSE,ワールド・ランプシェード [reunion],,,,,30.5,5,4,4,3,1,2,19,193,,1:59.15,局所難の典型。交互である部分とそうでない部分の見切りや、リズムを忘れないことが大事
,FALSE,オペラ！スペースオペラ！,,,,,30.5,5,6,3,2,2,1,19,198,,2:00.91,少し暗記が必要な部分や片手責め配置が厄介な印象。音取りが1箇所違っていたが修正された
,FALSE,ブラッドドール,,,,ソ,30.5,7,4,3,2,1,2,19,150,,1:55.20,最近の30の中ではかなり地力が必要で、局所的に研究が必要なほか12/16/24分を叩き分ける必要がある
,FALSE,カレシのジュード,,,,ソ,30.5,5,5,3,2,2,2,19,165,,2:09.82,キュートなカノジョと比較すると24分が黄色くて固定なので譜面的にはこっちの方が全然キュート
,FALSE,夜に駆ける,,,,,30.4+,4,3,2,4,3,2,18,130,,2:15.00,千本桜パターンの譜面。必要な地力もそこそこ。有名曲だしもう少し易しくしてもいいじゃん...
,FALSE,Voices,,,,,30.4+,5,5,2,1,3,2,18,190,,2:01.26,サイズが大きめのノーツに注意すれば比較的難しくない。下の譜面の追加によって地力が浮き彫りに
,FALSE,スロウダウナー,,,,ソ,30.4+,5,4,3,1,3,2,18,194,,2:18.40,付点8分と8分の混フレと取れるリズムが印象的。同時押しは少ない分体力が求められる
,FALSE,アンテナ39,,,,ソ,30.4+,5,4,3,2,2,2,18,147,,2:02.35,全体的に地力配置が多めで、春嵐をすこーしやりやすくしたみたいな印象。サビ前の演出、シビれる
,FALSE,あちこちデートさん,ソ,敷,交,多,30.4+,3,2,6,4,1,2,18,46-107,◎,1:57.30,初の真・ギミックコンプ譜面！とりあえず例の局所難のリズムを体に覚え込ませるのがスタートライン
,FALSE,Calc.,,,,,30.4+,5,3,4,3,1,2,18,173,,2:22.02,初めて記録を狙う際はラストの視認難配置が本当に鬼門。同時とそうでない部分を区別しよう
,FALSE,ショウタイム×オーディエンス,,,,,30.4+,5,4,3,2,3,1,18,220,◎,1:58.70,中盤に難所が飛んでくるタイプの譜面。終点が統合されている配置が多いが両手操作が吉
,FALSE,エンヴィキャットウォーク,,ソ,敷,交,30.4+,5,5,3,2,2,1,18,160-190,,2:05.90,縦連が多めのかなり凝った譜面。BPMが上がってもその傾向は変わらず、かなり脅威となる
,FALSE,アトラクトライト,,,,,30.4,4,4,3,2,2,2,17,196,,2:21.43,BPMは早めだが、16分音符が少ない。小粒スライド地帯は長い方を早めに動かすか、最悪全押し
,FALSE,オーバーコード,,,,敷,30.4,4,5,2,3,1,2,17,120,◎,2:36.50,延々とこのBPMで低速ハネをやらされるまあまあツラい譜面。バーコードスライドを読み取ると...
,FALSE,METEOR,,,,,30.4,5,4,3,1,3,1,17,170,,2:16.94,30の中でもなかなかに素直な譜面。アウトロ前のスライドはかなりの作り込まれ具合を誇る
,FALSE,ヘイヴン,,,ソ,敷,30.4,5,4,3,3,1,1,17,144,,1:52.08,サビ後の演出には驚いた人も多いのではないでしょうか。かなりいろんなギミックが詰め込まれている
,FALSE,ONESELF,,,,,30.4,4,4,3,3,1,2,17,160-170,,2:00.61,臨界点を彷徨ってから例のスライドまで7回もBPM変化があるらしい。BPMも彷徨ってるってこと？
,FALSE,T氏の話を信じるな,,,,ソ,30.4,6,4,2,3,1,1,17,143,,1:59.16,2箇所くらい交互では通らない配置があり、最近の傾向を信じすぎていると崩されてしまう譜面
,FALSE,ぼかろころしあむ,,,,ソ,30.4,5,3,2,5,1,1,17,130,,1:59.54,ひっさびさの「こういう系」がきた。1から研究するのが苦手な人には本当に苦しいと思う
,FALSE,ラヴィ,,ソ,敷,多,30.3+,5,4,3,1,1,2,16,183,,2:08.52,今期一番の神譜面！かつ、同時押しが定期的に混じる12分音符など、しっかり地力要素も存在している
,FALSE,ルマ,,,,ソ,30.3+,3,4,2,3,1,3,16,154,,2:04.68,フリックによる横移動や、あまり見ないタイプのトレース絡みの認識難など、潤沢に難しさがある
,FALSE,ロストアンブレラ,,,,ソ,30.3+,5,4,2,3,1,1,16,137,,1:51.02,見た目に騙されずに誘導に乗る最高の練習ができる譜面！ラストは1つ前のノーツからちょうど4.5拍後
,FALSE,サヨナラ天国また来て地獄,,,,敷,30.3+,3,3,1,3,3,3,16,113,◎,1:41.95,30ではおそらく初であろう19.2分族。ロウワーに似た、フリックによる多少の視認のしづらさがある
,FALSE,紗痲,,,,,30.3+,4,4,2,2,2,2,16,160,,2:06.38,全体難傾向が強い譜面。1サビの謎トレース終点がラスサビで伏線回収されるのが最高に気持ちいい
,FALSE,キュートなカノジョ,,,,,30.3+,3,3,4,2,2,2,16,160,△,2:06.75,間奏からは24分7連打が規則的なタイミングで現れる。ところどころの16分には落ち着いて対処しよう
,FALSE,え？あぁ、そう。,,,,,30.3+,5,4,3,1,1,2,16,192,,1:45.00,しっかりと物量がありつつフリックも多く、フリック混じりの長めの連打が特に厄介
,FALSE,マトリョシカ,,,,,30.3+,3,7,1,2,2,1,16,205,,1:42.44,16分音符→同時が一切ないという珍しすぎるMASTER譜面。弦を弾くときはスライドを動かさない
,FALSE,チームメイト,,,,,30.3+,5,5,2,1,2,1,16,180,,1:47.33,16分連打が多いがかなり基本的な配置となっている。縦連には少し気を配ろう
,FALSE,フィッシュアンドTips,,,,ソ,30.3+,4,3,4,2,1,2,16,160,,1:57.00,GOD曲GOD譜面。巧みな編曲によって2番のドロップが聴ける。が、そこがかなり猛威を振るう譜面
,FALSE,のだ,,,ソ,多,30.3,4,3,3,1,2,2,15,142,,1:56.62,ところどころ現れる鍵盤配置を冷静に対処できるかがポイント。歌詞演出が超オシャレですよね
,FALSE,ダイダイダイダイダイキライ,,,ソ,交,30.3,4,3,3,2,1,2,15,130,,1:45.46,終1を一旦つけたが、油断していると忘れることもある。間奏を中心に最低限の地力が必要
,FALSE,一千光年,,,,,30.3,4,3,3,2,1,2,15,192,,1:51.56,中盤の8分同時押しラッシュや、後半からアウトロにかけて飛んでくる厄介な同時押し配置が印象的
,FALSE,シークレット・シーカー,,,,,30.3,4,4,2,3,1,1,15,180,,1:47.67,縦連型認識難こそ後半に現れるものの、このBPMの16分がしっかり叩ければあまり問題ない。曲が神
,FALSE,オールセーブチャレンジ,,,,敷,30.3,4,3,3,1,2,2,15,171,,1:32.63,曲が本当に神。特にアウトロに関してはかなり地力が求められる。サビ前の縦連や24分にも注意
,FALSE,エクスプロウル,,ソ,敷,交,30.3,3,3,3,2,2,2,15,164,,2:00.18,1サビを抜けた後のドロップがかなり認識難気味だが、交互押しが大部分。独特なギミックも搭載
,FALSE,東京サマーセッション,,,ソ,敷,30.3,5,4,2,1,1,2,15,160,,2:07.31,なんでこの曲でゴリゴリ地力配置が飛んでくるんだwwww　赤譜面にも敷配置があるらしくて驚き
,FALSE,パメラ,,,,敷,30.3,3,3,4,2,1,2,15,148,,1:59.19,1箇所ある32分はあのカンタレラより速いけど短いので、ここができればなんとかなる系の譜面
,FALSE,サイバーパンクデッドボーイ,,,,,30.3,4,3,3,2,1,2,15,157,,1:55.03,いい曲。トレースノーツがかなり見づらく少し暗記が必要かも。地力もしっかりと求められる
,FALSE,さよならプリンセス,,,,,30.2+,3,4,2,1,2,2,14,195,,1:55.08,少しだけ16分からの同時が増えた代わりにBPMが下がったマトリョシカといった感じの譜面
,FALSE,少女A,,,ソ,敷,30.2+,3,3,2,2,2,2,14,260,,2:10.62,腐れ外道に並び基本BPMは1位タイ。終点ナシロングノーツが多く割と気軽に叩ける配置が多め
,FALSE,ホワイトハッピー,,,,敷,30.2+,4,3,2,1,2,2,14,160,,2:02.25,たまに縦連が飛んでくるが意外と特徴がない。8分スライドは終点でもいい気がしたなぁ
,FALSE,M@GICAL☆CURE! LOVE ♥ SHOT!,,,ソ,敷,30.2+,3,4,3,1,2,1,14,192,,2:05.94,ギミックを搭載した準旧レギュ譜面。ソフラン後に終点を離させる点ではかなりの唯一無二性を誇る
,FALSE,Decade,,,,,30.2+,2,2,2,5,1,2,14,127,,2:16.06,見た目だけ難しいが、要求地力は28レベル。交互押しで大体どうにかなるので頑張ろう
,FALSE,リレイアウター,,,ソ,敷,30.2+,4,3,3,1,1,2,14,23-151,,2:28.51,最低BPMを圧倒的に更新。譜面自体はリズム自体は単調だが、縦連などがちょっと面倒
,FALSE,妄想アスパルテーム,,,,交,30.2+,4,3,3,1,1,2,14,170,,1:55.59,トレースノーツとはいえ交差配置を普通にブチ込んできた！リズムとフリックが少し難しい
,FALSE,Awake Now,,,,交,30.2+,3,3,2,3,2,1,14,117,◎,1:58.97,ちょーーーーーーーーー楽しい認識難。ドンファイ超劣化版な交差配置もあったりする
,FALSE,君が飛び降りるのならば,,,,ソ,30.2+,3,5,2,1,1,2,14,210,,1:55.43,ほぼほぼ裏の音取り全振りなのは少し寂しいが、BPMが210あるのでしっかり密度対応が求められる
,FALSE,パンダヒーロー,,,敷,交,30.2+,3,3,3,2,1,2,14,190,,1:35.68,BPM190でシンプルに忙しい譜面といった感じだが認識は難しくない。アウトロの急な交差配置何？
,FALSE,SHIAWASE FOR YOU!,,,,敷,30.2+,3,4,2,2,1,2,14,200,,1:38.74,BPMが早いが、乱暴な16分音符の配置はそんなになく、認識が難しいものもすべて交互押し。納期？
,FALSE,アルカリレットウセイ,,,,敷,30.2+,3,3,3,2,1,2,14,158,,2:01.14,ジェネリックビタチョコが最後に飛んでくるので惑わされずに叩く練習にはいいのかもしれない...？
,FALSE,導火愛,,,ソ,敷,30.2+,2,4,3,1,3,1,14,114,◎,1:58.95,中盤の難所が終点染めなのまあまあ好きです。譜面の展開が良い。30に落とし込んだ脳内革命って感じ
,FALSE,比較症候群,,,,,30.2+,4,4,1,1,2,2,14,200,,1:55.20,200は順当に早い上、終点がちょこちょこそれなりの密度で降ってくる。最後まで気を抜くな
,FALSE,ラズベリー＊モンスター,,ソ,敷,多,30.2,3,4,1,2,1,2,13,192,,2:00.67,トレースフリックうおおおおおおおおおおおおおおお以外は順当地力が求められる。まあまあ入門寄り
,FALSE,幕を下ろそう、パレードへ,,,,ソ,30.2,3,3,4,1,1,1,13,146,,1:57.02,間奏とアウトロで足切りするにょ〜〜〜んwwwwwな譜面。そこ以外にも凝った配置が多くて好きです
,FALSE,透明エレジー,,,,,30.2,3,4,2,1,2,1,13,220,,1:57.68,BPM220なだけあって16分音符が体感脅威になる。8分音符がしっかり叩ければ基本問題はない
,FALSE,星宙メランコリア,,,,,30.2,3,4,2,1,1,2,13,196,,1:56.33,EDM系の楽曲にしては結構タップノーツが多め。その分密度は少し高めなのでその耐性は必要
,FALSE,"Help me, ERINNNNNN!!",,,,,30.2,3,4,3,1,1,1,13,185,,2:18.16,16分→同時押しがないが、マトリョシカを遅くした代わりに乱打が長いといった感じの譜面
,FALSE,混沌ブギ,,ソ,敷,交,30.2,2,3,1,2,2,3,13,190,,2:01.11,ちゃんと交差配置があったり、持ち替えが頻発するなどかなり特徴的な譜面。持ち替え後の終点注意！
,FALSE,フュージョン,,,,多,30.2,3,3,2,1,2,2,13,188,,1:57.45,ワンアポ桃でやってたことを早速紫でやってくれた...！！最低限の物量があるので冷静に対処しよう
,FALSE,だめにんげんだ!,,,ソ,敷,30.2,3,2,4,1,1,2,13,179,,1:56.65,あの見た目で「多」の基準に該当する部分が1箇所もない。Aメロの最初で度肝を抜かれる
,FALSE,みかぼし,,,,敷,30.2,2,2,5,2,1,1,13,188,,2:07.98,他の地帯に比べてラスサビの16分の量が多く相対的に難しく感じる。落ち着いて対処しよう
,FALSE,ペンタトニック,,ソ,敷,多,30.2,3,3,2,2,1,2,13,161,▲,1:38.20,終点フリックを通常フリックで取らせる想定の譜面やめてください！サビ前の停止はマジでビックリ
,FALSE,下剋上,,,,ソ,30.2,2,3,2,2,2,2,13,185,▲,2:30.16,圧倒的スクロールを見せつけてくる譜面。どこがハネでどこが8分かの把握は少し必要
,FALSE,それでも僕らは歌うことをやめない,,,,交,30.1+,3,3,3,1,1,1,12,182,,1:32.97,流星が降る交差配置がとても印象的。他のレオニ30と比べて非常に叩きやすく、レオニ30入門と言える
,FALSE,人マニア,,,ソ,敷,30.1+,2,1,3,4,0,2,12,150,,2:01.40,原口沙輔曲、マジで研究値の高い譜面をオールウェイズ出してくれる。腐食が珍しく時間食いました
,FALSE,ジェットブラック,ソ,敷,交,多,30.1+,3,3,1,2,1,2,12,170,,2:06.97,スライドは意外とサボれるので試してみよう。30でガッツリ低速来るとは思わなかった...
,FALSE,ヴィーナス,ソ,敷,交,多,30.1+,2,4,2,1,1,2,12,192,,2:08.13,何気に3拍子の曲もちょっと久々な気がする。地味にフリックが多くてちょっと忙しいので冷静に
,FALSE,おちゃめ機能,,,,,30.1+,3,2,2,1,2,2,12,150,,2:01.20,トレースノーツを活かした動きが特徴的。譜面自体はかなり素直だがリズムがほんの少し厄介
,FALSE,キャットラビング,,,,,30.1+,3,2,3,1,1,2,12,163,,1:53.01,譜面の展開がかなりお気に入り(腐食談)。くの字が最低限の難しさを担保している感
,FALSE,笑えたらえーやん！,,,,ソ,30.1,2,3,3,1,1,1,11,174,,1:59.66,ギミックを楽しむための譜面。サビ前の付点のリズムの地帯が1番の難所といったところか
,FALSE,魔法少女とチョコレゐト,,ソ,敷,交,30.0,2,2,1,1,1,2,9,150,,1:54.80,某難易度35の引用もマイルドになり良い譜面だが、譜面のせいでとある曲がタイトル通りを果たした
29,FALSE,drop pop candy,,,,,29.9,7,5,3,4,5,2,26,130,,1:43.15,全体を通して認識難であり、サビのロング終点も厄介。ここまで難しくできるんだなぁ
,FALSE,嗚呼、素晴らしきニャン生,,,,,29.9,9,6,3,2,4,2,26,194,◎,2:21.86,何の変哲もないハネリズム譜面...だと昔は思ってた。微縦連と終点が実はあまりにも多い......
,FALSE,だれかの心臓になれたなら,,,,,29.9,9,5,3,2,4,3,26,145,,1:52.14,一言で表すなら「悔やむと書いてミライの劣化版」。ただテンポが遅く終点グレが出やすいかも
,FALSE,サンドリヨン 10th Anniversary,,,,,29.9,8,6,4,3,3,2,26,147,,1:43.11,チャレラ効率曲(ヒバナAPDに先を越された)だがこの譜面を捌くにおいてもかなりスキルが必要
,FALSE,お気に召すまま,,,,,29.9,10,5,4,1,4,2,26,143,,1:46.99,初期はドラマツルギーと同じ定数だったが、物理難や24分が難しくかなり定数に差がつくことになった
,FALSE,ボッカデラベリタ,,,,,29.9,10,7,3,2,2,2,26,170,,1:52.94,元28だったのが本当に意味がわからないほどに力が必要。交差して叩くのも視野に入れてみよう...
,FALSE,ブレス・ユア・ブレス,,,,交,29.8,8,6,3,2,4,2,25,152,,1:29.80,24分多。スライド始点擬きのタップがスライドに重なっていないのは時代を感じるが、修正を強く希望
,FALSE,ジャックポットサッドガール,,,,,29.8,7,5,5,3,3,2,25,204,◎,1:19.51,最初が光ったらジャックポット。バーチャル・シンガーVerが一風変わって聞こえる
,FALSE,シネマ,,,,,29.8,7,5,3,5,3,2,25,124,,1:38.47,幽霊東京とBPM同じなのなんかいい(？)。想定運指が謎すぎてゴリ押しの方が早いかも
,FALSE,スノーマン,,,,,29.8,7,5,4,4,3,2,25,127,,2:19.37,低速地力譜面であるが、ところどころ癖の強い配置も見られる。運指を組んでおこう
,FALSE,ベノム,,,,,29.8,9,6,2,3,3,2,25,152,,2:03.36,やりづらい方向指定やジャケット再現の譜面が特徴的。あまりみずえなの予想はしてなかった
,FALSE,YY,,,,,29.8,8,5,5,2,3,2,25,123,,2:20.73,APPENDの実装に伴い一部12分が付点16分に修正されかなり快適になった。依然リズムは難しいけど...
,FALSE,携帯恋話,,,,,29.8,9,6,3,2,3,2,25,150,,2:15.00,同時押しが絡んでくる16分音符がなかなかに厄介。これでも初期は29弱だったんだよ......
,FALSE,踊,,,,,29.8,8,5,5,3,2,2,25,128,,2:15.70,最後のリズムが最近の太鼓の○人並みに変態。間奏地帯がなかなか見ない地力配置となっている
,FALSE,カンタレラ,,,,,29.8,7,5,6,3,2,2,25,144,,2:00.83,間奏地帯のBPM288の16分7打は右手を意識するといいかも。局所24分にも注意が必要
,FALSE,Bad ∞ End ∞ Night,,,,,29.7+,7,6,3,2,4,2,24,132-204,◎,1:54.69,拍の調整の関係で低速の中継点がおかしかったり、サビに何故か16分音符が混じっているハネ譜面
,FALSE,テレキャスタービーボーイ,,,,,29.7+,9,6,3,1,3,2,24,182,,1:31.98,イントロの方向指定間違えがち(腐食談)。曲が短く詰めやすいがゴリ押し配置も多い
,FALSE,DREAM PLACE,,,,,29.7+,9,6,3,2,2,2,24,136,,2:15.88,指押しのいい練習になりそうな譜面。ラストの不自然に膨らんでいるスライドの意図とは...
,FALSE,ODDS&ENDS,,,,,29.7+,9,7,3,1,2,2,24,192,,1:27.50,当時割と謎な昇格だと思っていたが、さらに下回る29が増えてきてラストのラッシュがむずく感じる...
,FALSE,アスノヨゾラ哨戒班,,,,,29.7+,9,7,3,1,2,2,24,185,,2:04.54,やっぱり初期の地力譜面は強いんだよなあ！！！！外→内の2連打が多くのプレイヤーを苦しめる
,FALSE,PaⅢ.SENSATION,,,,,29.7+,8,5,4,2,4,1,24,180,◎,2:07.89,認識難配置はあるがフリックと反対の手で叩き始めればよいという誘導がある。最後の配置コワイ
,FALSE,Gimme×Gimme,,,,,29.7,5,3,3,4,5,3,23,105,◎,2:12.48,元祖認識難。それに加え現環境を鑑みると移動終点などかなり厄介な配置が多くなっている
,FALSE,ドーナツホール 2024,,,,,29.7,7,5,3,2,3,3,23,252,,2:15.36,なぜかBPMが半減処理されていない...ECHOに続く8分音符までしかない譜面だが速さ故配置エグい
